DATE	USAF	TEMP_F	TEMP_C	REF_TEMP_C	DIFF_C
1/1/1952	29740	28.34782609	-2.028985507	-4.936650062	2.907664555
1/1/1953	29740	22.19008264	-5.449954086	-4.936650062	-0.513304024
1/1/1954	29740	19.86440678	-6.741996234	-4.936650062	-1.805346171
1/1/1955	29740	22.58333333	-5.231481481	-4.936650062	-0.294831419
1/1/1956	29740	18.25423729	-7.63653484	-4.936650062	-2.699884778
1/1/1957	29740	27.50413223	-2.497704316	-4.936650062	2.438945746
1/1/1958	29740	16.99193548	-8.33781362	-4.936650062	-3.401163558
1/1/1959	29740	23.02542373	-4.985875706	-4.936650062	-0.049225644
1/1/1960	29740	13.20465116	-10.44186047	-4.936650062	-5.505210403
1/1/1961	29740	25.32888889	-3.70617284	-4.936650062	1.230477223
1/1/1962	29740	25.43668122	-3.64628821	-4.936650062	1.290361853
1/1/1963	29740	14.25311203	-9.859382204	-4.936650062	-4.922732142
1/1/1973	29740	28.48553055	-1.95248303	-4.936650062	2.984167033
1/1/1974	29740	26.9625	-2.798611111	-4.936650062	2.138038951
1/1/1975	29740	29.61632391	-1.324264496	-4.936650062	3.612385566
1/1/1976	29740	14.20060606	-9.888552189	-4.936650062	-4.951902126
1/1/1977	29740	20.35803201	-6.467759995	-4.936650062	-1.531109932
1/1/1978	29740	21.70212766	-5.721040189	-4.936650062	-0.784390127
1/1/1979	29740	16.51213736	-8.604368134	-4.936650062	-3.667718071
1/1/1980	29740	16.12404468	-8.819975178	-4.936650062	-3.883325116
1/1/1981	29740	24.64477884	-4.086233977	-4.936650062	0.850416085
1/1/1982	29740	13.57296651	-10.23724083	-4.936650062	-5.300590767
1/1/1983	29740	29.28553538	-1.508035901	-4.936650062	3.428614162
1/1/1984	29740	24.20916215	-4.328243252	-4.936650062	0.60840681
1/1/1985	29740	4.263931415	-15.40892699	-4.936650062	-10.47227693
1/1/1986	29740	18.14766355	-7.695742471	-4.936650062	-2.759092409
1/1/1987	29740	-0.645057766	-18.1361432	-4.936650062	-13.19949314
1/1/1988	29740	27.4040025	-2.553331944	-4.936650062	2.383318119
1/1/1989	29740	31.55333749	-0.248145838	-4.936650062	4.688504225
1/1/1990	29740	25.03089037	-3.871727573	-4.936650062	1.06492249
1/1/1991	29740	26.59234508	-3.004252734	-4.936650062	1.932397328
1/1/1992	29740	29.1079646	-1.606686332	-4.936650062	3.32996373
1/1/1993	29740	28.82096584	-1.766130088	-4.936650062	3.170519975
1/1/1994	29740	25.20533643	-3.774813096	-4.936650062	1.161836966
1/1/1995	29740	26.49088542	-3.060619213	-4.936650062	1.876030849
1/1/1996	29740	21.48900388	-5.839442288	-4.936650062	-0.902792226
1/1/1997	29740	24.68650794	-4.063051146	-4.936650062	0.873598916
1/1/1998	29740	29.11690141	-1.60172144	-4.936650062	3.334928622
1/1/1999	29740	22.55420054	-5.247666366	-4.936650062	-0.311016303
1/1/2000	29740	27.02828283	-2.762065095	-4.936650062	2.174584967
1/1/2001	29740	28.20731707	-2.10704607	-4.936650062	2.829603992
1/1/2002	29740	25.79387755	-3.447845805	-4.936650062	1.488804257
1/1/2003	29740	14.50352526	-9.720263742	-4.936650062	-4.78361368
1/1/2004	29740	19.2553066	-7.08038522	-4.936650062	-2.143735158
1/1/2005	29740	30.06018519	-1.077674897	-4.936650062	3.858975165
1/1/2006	29740	23.46565934	-4.741300366	-4.936650062	0.195349696
1/1/2007	29740	27.71318182	-2.381565657	-4.936650062	2.555084406
1/1/2008	29740	31.53390211	-0.258943272	-4.936650062	4.67770679
1/1/2009	29740	24.76774483	-4.017919537	-4.936650062	0.918730525
1/1/2010	29740	9.56059246	-12.46633752	-4.936650062	-7.52968746
1/1/2011	29740	22.23394701	-5.425584992	-4.936650062	-0.48893493
1/1/2012	29740	22.97174888	-5.015695067	-4.936650062	-0.079045005
1/1/2013	29740	21.39901035	-5.889438696	-4.936650062	-0.952788634
1/1/2014	29740	18.52745275	-7.484748475	-4.936650062	-2.548098413
1/1/2015	29740	28.54102921	-1.92165044	-4.936650062	3.014999622
1/1/2016	29740	13.60682226	-10.21843208	-4.936650062	-5.281782014
1/1/2017	29740	26.85296763	-2.85946243	-4.936650062	2.077187632
1/1/2018	29740	28.07353609	-2.18136884	-4.936650062	2.755281222
1/1/2019	29740	20.69838337	-6.278675905	-4.936650062	-1.342025842
2/1/1952	29740	24.91071429	-3.938492063	-5.656795385	1.718303322
2/1/1953	29740	16.24324324	-8.753753754	-5.656795385	-3.096958369
2/1/1954	29740	11.50925926	-11.38374486	-5.656795385	-5.726949471
2/1/1955	29740	16.76851852	-8.461934156	-5.656795385	-2.805138771
2/1/1956	29740	6.831775701	-13.98234683	-5.656795385	-8.325551448
2/1/1957	29740	26.68571429	-2.952380952	-5.656795385	2.704414433
2/1/1958	29740	14.92857143	-9.484126984	-5.656795385	-3.827331599
2/1/1959	29740	27.85572139	-2.302377004	-5.656795385	3.354418381
2/1/1960	29740	15.74519231	-9.030448718	-5.656795385	-3.373653333
2/1/1961	29740	31.35377358	-0.359014675	-5.656795385	5.29778071
2/1/1962	29740	22.73023256	-5.149870801	-5.656795385	0.506924584
2/1/1963	29740	12.56018519	-10.79989712	-5.656795385	-5.143101734
2/1/1973	29740	24.54963504	-4.139091646	-5.656795385	1.517703739
2/1/1974	29740	31.21674877	-0.435139573	-5.656795385	5.221655812
2/1/1975	29740	26.66850069	-2.961944062	-5.656795385	2.694851323
2/1/1976	29740	19.26214834	-7.076584257	-5.656795385	-1.419788872
2/1/1977	29740	16.09567497	-8.835736129	-5.656795385	-3.178940744
2/1/1978	29740	11.53034301	-11.37203166	-5.656795385	-5.715236277
2/1/1979	29740	14.53887043	-9.700627538	-5.656795385	-4.043832153
2/1/1980	29740	16.43301759	-8.64832356	-5.656795385	-2.991528175
2/1/1981	29740	21.03500761	-6.091662439	-5.656795385	-0.434867053
2/1/1982	29740	21.58494337	-5.786142572	-5.656795385	-0.129347186
2/1/1983	29740	17.49094708	-8.060584958	-5.656795385	-2.403789573
2/1/1984	29740	21.94774194	-5.584587814	-5.656795385	0.072207572
2/1/1985	29740	5.171896317	-14.90450205	-5.656795385	-9.247706661
2/1/1986	29740	11.11035422	-11.60535876	-5.656795385	-5.94856338
2/1/1987	29740	19.83309859	-6.759389671	-5.656795385	-1.102594286
2/1/1988	29740	24.83029909	-3.983167172	-5.656795385	1.673628213
2/1/1989	29740	32.79542396	0.441902198	-5.656795385	6.098697584
2/1/1990	29740	34.22364865	1.23536036	-5.656795385	6.892155746
2/1/1991	29740	20.73553163	-6.258037984	-5.656795385	-0.601242599
2/1/1992	29740	28.34807692	-2.028846154	-5.656795385	3.627949231
2/1/1993	29740	27.21551724	-2.658045977	-5.656795385	2.998749408
2/1/1994	29740	8.652542373	-12.97080979	-5.656795385	-7.314014408
2/1/1995	29740	31.36796537	-0.351130351	-5.656795385	5.305665034
2/1/1996	29740	13.79545455	-10.11363636	-5.656795385	-4.456840978
2/1/1997	29740	26.31457431	-3.158569825	-5.656795385	2.49822556
2/1/1998	29740	23.8538206	-4.525655223	-5.656795385	1.131140162
2/1/1999	29740	20.02325581	-6.65374677	-5.656795385	-0.996951385
2/1/2000	29740	27.73072862	-2.371817435	-5.656795385	3.28497795
2/1/2001	29740	17.85234899	-7.859806115	-5.656795385	-2.20301073
2/1/2002	29740	30.56723164	-0.795982423	-5.656795385	4.860812962
2/1/2003	29740	21.58437295	-5.786459473	-5.656795385	-0.129664088
2/1/2004	29740	23.16030056	-4.910944131	-5.656795385	0.745851254
2/1/2005	29740	21.83301466	-5.648325189	-5.656795385	0.008470196
2/1/2006	29740	15.60120542	-9.110441431	-5.656795385	-3.453646046
2/1/2007	29740	14.6958711	-9.613404946	-5.656795385	-3.95660956
2/1/2008	29740	32.44916911	0.249538395	-5.656795385	5.90633378
2/1/2009	29740	23.02590932	-4.985605935	-5.656795385	0.67118945
2/1/2010	29740	15.7027972	-9.054001554	-5.656795385	-3.397206169
2/1/2011	29740	10.72731805	-11.81815664	-5.656795385	-6.161361256
2/1/2012	29740	17.42054729	-8.099695951	-5.656795385	-2.442900566
2/1/2013	29740	27.16902119	-2.683877116	-5.656795385	2.972918269
2/1/2014	29740	31.37680438	-0.346219789	-5.656795385	5.310575597
2/1/2015	29740	32.15936255	0.08853475	-5.656795385	5.745330135
2/1/2016	29740	31.15781783	-0.467878985	-5.656795385	5.188916401
2/1/2017	29740	26.23546945	-3.202516973	-5.656795385	2.454278412
2/1/2018	29740	16.42594433	-8.652253148	-5.656795385	-2.995457763
2/1/2019	29740	31.47441629	-0.291990948	-5.656795385	5.364804438
3/1/1952	29740	14.31932773	-9.822595705	-1.881240312	-7.941355393
3/1/1953	29740	30.70689655	-0.718390805	-1.881240312	1.162849507
3/1/1954	29740	29.49586777	-1.391184573	-1.881240312	0.490055739
3/1/1955	29740	21.94308943	-5.587172538	-1.881240312	-3.705932227
3/1/1956	29740	24.16393443	-4.353369763	-1.881240312	-2.472129452
3/1/1957	29740	19.30434783	-7.053140097	-1.881240312	-5.171899785
3/1/1958	29740	18.2983871	-7.612007168	-1.881240312	-5.730766857
3/1/1959	29740	32.6512605	0.361811391	-1.881240312	2.243051703
3/1/1960	29740	23.59174312	-4.671253823	-1.881240312	-2.790013511
3/1/1961	29740	32.73819742	0.41010968	-1.881240312	2.291349992
3/1/1962	29740	18.37711864	-7.56826742	-1.881240312	-5.687027108
3/1/1963	29740	16.26293103	-8.742816092	-1.881240312	-6.86157578
3/1/1973	29740	30.05990783	-1.077828981	-1.881240312	0.803411331
3/1/1974	29740	29.88481675	-1.175101803	-1.881240312	0.706138508
3/1/1975	29740	31.57520453	-0.235997483	-1.881240312	1.645242829
3/1/1976	29740	23.39573171	-4.780149051	-1.881240312	-2.89890874
3/1/1977	29740	28.22756598	-2.095796676	-1.881240312	-0.214556365
3/1/1978	29740	27.30118343	-2.610453649	-1.881240312	-0.729213337
3/1/1979	29740	28.94366197	-1.697965571	-1.881240312	0.18327474
3/1/1980	29740	21.23995201	-5.977804439	-1.881240312	-4.096564128
3/1/1981	29740	21.07802469	-6.06776406	-1.881240312	-4.186523749
3/1/1982	29740	31.31164179	-0.382421227	-1.881240312	1.498819084
3/1/1983	29740	27.3153753	-2.602569276	-1.881240312	-0.721328965
3/1/1984	29740	24.66928183	-4.072621203	-1.881240312	-2.191380891
3/1/1985	29740	27.51744886	-2.490306191	-1.881240312	-0.609065879
3/1/1986	29740	30.05823958	-1.078755791	-1.881240312	0.802484521
3/1/1987	29740	20.97467573	-6.125180152	-1.881240312	-4.243939841
3/1/1988	29740	26.3993808	-3.111455108	-1.881240312	-1.230214797
3/1/1989	29740	34.83476658	1.574870325	-1.881240312	3.456110636
3/1/1990	29740	34.69685767	1.498254262	-1.881240312	3.379494573
3/1/1991	29740	30.88145897	-0.621411685	-1.881240312	1.259828626
3/1/1992	29740	33.57193396	0.873296646	-1.881240312	2.754536957
3/1/1993	29740	30.81328546	-0.659285857	-1.881240312	1.221954455
3/1/1994	29740	27.59016393	-2.449908925	-1.881240312	-0.568668614
3/1/1995	29740	32.44499382	0.247218789	-1.881240312	2.1284591
3/1/1996	29740	26.20212766	-3.221040189	-1.881240312	-1.339799878
3/1/1997	29740	30.5731383	-0.792700946	-1.881240312	1.088539366
3/1/1998	29740	24.25307798	-4.303845569	-1.881240312	-2.422605258
3/1/1999	29740	29.83759591	-1.201335607	-1.881240312	0.679904705
3/1/2000	29740	30.77477477	-0.680680681	-1.881240312	1.200559631
3/1/2001	29740	25.62449393	-3.541947818	-1.881240312	-1.660707507
3/1/2002	29740	32.67477204	0.374873354	-1.881240312	2.256113665
3/1/2003	29740	29.55239787	-1.359778962	-1.881240312	0.52146135
3/1/2004	29740	29.69763314	-1.279092702	-1.881240312	0.602147609
3/1/2005	29740	20.51541594	-6.380324478	-1.881240312	-4.499084166
3/1/2006	29740	20.09419296	-6.614337245	-1.881240312	-4.733096934
3/1/2007	29740	37.29539171	2.941884281	-1.881240312	4.823124592
3/1/2008	29740	31.02921348	-0.539325843	-1.881240312	1.341914469
3/1/2009	29740	28.90533088	-1.719260621	-1.881240312	0.161979691
3/1/2010	29740	27.22593764	-2.652256866	-1.881240312	-0.771016554
3/1/2011	29740	29.02134423	-1.65480876	-1.881240312	0.226431552
3/1/2012	29740	31.75146067	-0.138077403	-1.881240312	1.743162908
3/1/2013	29740	19.91719457	-6.712669683	-1.881240312	-4.831429372
3/1/2014	29740	34.79181655	1.551009193	-1.881240312	3.432249504
3/1/2015	29740	35.09303371	1.71835206	-1.881240312	3.599592372
3/1/2016	29740	32.25771325	0.143174027	-1.881240312	2.024414339
3/1/2017	29740	33.22814881	0.682304896	-1.881240312	2.563545207
3/1/2018	29740	23.18317503	-4.898236092	-1.881240312	-3.016995781
3/1/2019	29740	31.57976299	-0.233465006	-1.881240312	1.647775306
4/1/1952	29740	39.36440678	4.0913371	3.927529609	0.163807491
4/1/1953	29740	40.16239316	4.534662868	3.927529609	0.607133259
4/1/1954	29740	34.65789474	1.476608187	3.927529609	-2.450921421
4/1/1955	29740	30.15929204	-1.022615536	3.927529609	-4.950145144
4/1/1956	29740	31.31355932	-0.381355932	3.927529609	-4.308885541
4/1/1957	29740	35.47272727	1.929292929	3.927529609	-1.998236679
4/1/1958	29740	33.88333333	1.046296296	3.927529609	-2.881233312
4/1/1959	29740	39.03389831	3.907721281	3.927529609	-0.019808328
4/1/1960	29740	35.1875	1.770833333	3.927529609	-2.156696275
4/1/1961	29740	36.5890411	2.549467275	3.927529609	-1.378062333
4/1/1962	29740	38.80851064	3.78250591	3.927529609	-0.145023698
4/1/1963	29740	37.39035088	2.994639376	3.927529609	-0.932890232
4/1/1973	29740	36.91027308	2.72792949	3.927529609	-1.199600119
4/1/1974	29740	36.97658863	2.76477146	3.927529609	-1.162758148
4/1/1975	29740	37.92432083	3.291289349	3.927529609	-0.63624026
4/1/1976	29740	35.9204043	2.178002386	3.927529609	-1.749527222
4/1/1977	29740	35.21791768	1.787732042	3.927529609	-2.139797567
4/1/1978	29740	35.69509044	2.052828022	3.927529609	-1.874701587
4/1/1979	29740	35.18523077	1.76957265	3.927529609	-2.157956959
4/1/1980	29740	40.515625	4.730902778	3.927529609	0.803373169
4/1/1981	29740	35.24025157	1.800139762	3.927529609	-2.127389846
4/1/1982	29740	36.8334377	2.685243164	3.927529609	-1.242286444
4/1/1983	29740	41.29463722	5.163687347	3.927529609	1.236157738
4/1/1984	29740	40.35965453	4.644252519	3.927529609	0.71672291
4/1/1985	29740	34.02542912	1.125238398	3.927529609	-2.802291211
4/1/1986	29740	33.85333333	1.02962963	3.927529609	-2.897899979
4/1/1987	29740	36.77449749	2.652498604	3.927529609	-1.275031004
4/1/1988	29740	34.90964262	1.61646812	3.927529609	-2.311061488
4/1/1989	29740	41.83249052	5.462494732	3.927529609	1.534965124
4/1/1990	29740	43.37507827	6.319487929	3.927529609	2.39195832
4/1/1991	29740	38.59363057	3.663128096	3.927529609	-0.264401512
4/1/1992	29740	35.68404908	2.046693933	3.927529609	-1.880835675
4/1/1993	29740	38.78400504	3.768891688	3.927529609	-0.158637921
4/1/1994	29740	41.2055336	5.114185332	3.927529609	1.186655723
4/1/1995	29740	37.92183288	3.289907158	3.927529609	-0.637622451
4/1/1996	29740	37.72282609	3.179347826	3.927529609	-0.748181782
